stem,term_id,n_tokens,n_docs,pos_mode,pos_coarse,example_word,tf,df,idf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max
distrust,4289,10,2,NN,NOUN,distrust,2.930334233922721e-05,2,0.3010299956639812,1.571297621718767e-05,3.142595243437534e-05,1.571297621718767e-05,1.578006540284858e-05
brim,4290,10,3,NN,VERB,brimmed,2.930334233922721e-05,3,0.12493873660829993,3.8882645563590135e-06,1.166479366907704e-05,2.857440687226693e-06,6.4936298275641585e-06
vacant,4291,10,3,JJ,ADJ,vacant,2.930334233922721e-05,3,0.12493873660829993,4.221096513655779e-06,1.2663289540967337e-05,2.6197275533019494e-06,9.091081758589822e-06
dislik,4292,10,3,NN,NOUN,dislike,2.930334233922721e-05,3,0.12493873660829993,4.025955424114389e-06,1.2077866272343168e-05,2.3137231542861895e-06,7.85918265990585e-06
extract,4293,10,2,NNS,NOUN,extracts,2.930334233922721e-05,2,0.3010299956639812,1.4488434351932496e-05,2.8976868703864992e-05,1.4488434351932496e-05,2.2092091563988008e-05
dissolv,4294,10,4,VBN,VERB,dissolved,2.930334233922721e-05,4,0.0,,0.0,,0.0
velvet,4295,10,2,NN,NOUN,velvet,2.930334233922721e-05,2,0.3010299956639812,1.4811635338513737e-05,2.9623270677027474e-05,1.4811635338513737e-05,2.503341925044282e-05
dissatisfact,4296,10,3,NN,NOUN,dissatisfaction,2.930334233922721e-05,3,0.12493873660829993,4.143646637595837e-06,1.2430939912787512e-05,4.627446308572379e-06,6.4936298275641585e-06
disregard,4297,10,3,VBN,VERB,disregard,2.930334233922721e-05,3,0.12493873660829993,4.304074044529147e-06,1.291222213358744e-05,3.896177896538496e-06,7.85918265990585e-06
bosom,4298,10,3,NN,NOUN,bosom,2.930334233922721e-05,3,0.12493873660829993,3.4303161781553717e-06,1.0290948534466116e-05,2.3137231542861895e-06,6.6673616035289505e-06
disaffect,4299,10,4,VBN,VERB,disaffected,2.930334233922721e-05,4,0.0,,0.0,,0.0
disadvantag,4300,10,4,NN,NOUN,disadvantage,2.930334233922721e-05,4,0.0,,0.0,,0.0
carpent,4301,10,3,NNS,NOUN,carpenters,2.930334233922721e-05,3,0.12493873660829993,3.820137440336504e-06,1.1460412321009511e-05,3.8099209163022576e-06,6.4936298275641585e-06
desist,4302,10,3,VB,VERB,desist,2.930334233922721e-05,3,0.12493873660829993,3.954494119769521e-06,1.1863482359308564e-05,1.3098637766509747e-06,9.254892617144758e-06
blunder,4303,10,4,NN,NOUN,blunder,2.930334233922721e-05,4,0.0,,0.0,,0.0
unselfish,4304,10,2,JJ,ADJ,unselfish,2.930334233922721e-05,2,0.3010299956639812,1.4488434351932496e-05,2.8976868703864992e-05,1.4488434351932496e-05,2.2092091563988008e-05
violet,4305,10,3,NN,NOUN,violet,2.930334233922721e-05,3,0.12493873660829993,3.986553418984886e-06,1.1959660256954659e-05,2.857440687226693e-06,7.792355793076991e-06
carriag,4306,10,3,NN,NOUN,carriage,2.930334233922721e-05,3,0.12493873660829993,4.1019686644639755e-06,1.2305905993391927e-05,1.9049604581511288e-06,9.091081758589822e-06
carpet,4307,10,4,NN,NOUN,carpet,2.930334233922721e-05,4,0.0,,0.0,,0.0
boisé,4308,10,1,NNP,NOUN,Boisée,2.930334233922721e-05,1,0.6020599913279624,4.5898514265846555e-05,4.5898514265846555e-05,4.5898514265846555e-05,4.5898514265846555e-05
unwis,4309,10,3,JJ,ADJ,unwise,2.930334233922721e-05,3,0.12493873660829993,4.311499251954575e-06,1.2934497755863725e-05,1.2987259655128319e-06,1.0478910213207798e-05
devis,4310,10,3,VB,VERB,devising,2.930334233922721e-05,3,0.12493873660829993,4.3077866482418604e-06,1.292335994472558e-05,2.5974519310256637e-06,9.169046436556823e-06
villain,4311,10,4,NN,NOUN,villain,2.930334233922721e-05,4,0.0,,0.0,,0.0
thirst,4312,10,4,NN,NOUN,thirst,2.930334233922721e-05,4,0.0,,0.0,,0.0
draft,4313,10,4,NN,NOUN,draft,2.930334233922721e-05,4,0.0,,0.0,,0.0
downfal,4314,10,3,NN,NOUN,downfall,2.930334233922721e-05,3,0.12493873660829993,3.9772306589474545e-06,1.1931691976842364e-05,5.1949038620513275e-06,5.784307885715473e-06
camera,4315,10,3,NN,NOUN,camera,2.930334233922721e-05,3,0.12493873660829993,4.217383909943065e-06,1.2652151729829195e-05,1.3098637766509747e-06,1.0389807724102655e-05
behold,4316,10,3,VBD,VERB,behold,2.930334233922721e-05,3,0.12493873660829993,3.6101459359442565e-06,1.0830437807832769e-05,3.4705847314292836e-06,4.762401145377822e-06
extinguish,4317,10,2,VBN,VERB,extinguished,2.930334233922721e-05,2,0.3010299956639812,1.189175441296815e-05,2.37835088259363e-05,1.189175441296815e-05,2.065433141963095e-05
baptism,4318,10,2,NN,NOUN,baptism,2.930334233922721e-05,2,0.3010299956639812,1.3560257798994199e-05,2.7120515597988398e-05,1.3560257798994199e-05,1.564588703152676e-05
battlefield,4319,10,2,NN,NOUN,battlefield,2.930334233922721e-05,2,0.3010299956639812,1.5304076017784062e-05,3.0608152035568125e-05,1.5304076017784062e-05,2.503341925044282e-05
sunshin,4320,10,3,NN,NOUN,sunshine,2.930334233922721e-05,3,0.12493873660829993,3.990266022697601e-06,1.1970798068092801e-05,2.857440687226693e-06,6.4936298275641585e-06
surg,4321,10,3,NNS,NOUN,surges,2.930334233922721e-05,3,0.12493873660829993,4.217383909943065e-06,1.2652151729829195e-05,1.3098637766509747e-06,1.0389807724102655e-05
arithmet,4322,10,4,JJ,ADJ,arithmetic,2.930334233922721e-05,4,0.0,,0.0,,0.0
crisi,4323,10,4,NN,NOUN,crisis,2.930334233922721e-05,4,0.0,,0.0,,0.0
ammunit,4324,10,4,NN,NOUN,ammunition,2.930334233922721e-05,4,0.0,,0.0,,0.0
enrag,4325,10,3,VBN,VERB,enraged,2.930334233922721e-05,3,0.12493873660829993,3.685698259392195e-06,1.1057094778176585e-05,3.8099209163022576e-06,4.627446308572379e-06
anchorag,4326,10,3,NN,NOUN,anchorage,2.930334233922721e-05,3,0.12493873660829993,3.4094771915894406e-06,1.0228431574768321e-05,1.3098637766509747e-06,7.619841832604515e-06
compact,4327,10,4,NN,NOUN,compact,2.930334233922721e-05,4,0.0,,0.0,,0.0
awe,4328,10,2,NN,NOUN,awe,2.930334233922721e-05,2,0.3010299956639812,1.2308880259474663e-05,2.4617760518949325e-05,1.2308880259474663e-05,1.835940570633862e-05
coiffur,4329,10,2,NN,NOUN,coiffure,2.930334233922721e-05,2,0.3010299956639812,1.2213289585367123e-05,2.4426579170734246e-05,1.2213289585367123e-05,1.6064479993046294e-05
awak,4330,10,4,NN,VERB,awake,2.930334233922721e-05,4,0.0,,0.0,,0.0
tumbl,4331,10,2,JJ,ADJ,tumble,2.930334233922721e-05,2,0.3010299956639812,1.3977383645500712e-05,2.7954767291001423e-05,1.3977383645500712e-05,1.8775064437832114e-05
encamp,4332,10,3,VBD,VERB,encamped,2.930334233922721e-05,3,0.12493873660829993,3.7672391545552073e-06,1.1301717463665622e-05,1.9049604581511288e-06,8.098031040001662e-06
collaps,4333,10,3,VBN,VERB,collapsed,2.930334233922721e-05,3,0.12493873660829993,4.217383909943065e-06,1.2652151729829195e-05,1.3098637766509747e-06,1.0389807724102655e-05
ashikaga,4334,10,2,NNP,NOUN,Ashikaga,2.930334233922721e-05,2,0.3010299956639812,1.1905172250100333e-05,2.3810344500200665e-05,1.1905172250100333e-05,2.065433141963095e-05
comment,4335,10,3,NN,NOUN,comment,2.930334233922721e-05,3,0.12493873660829993,3.787699725730782e-06,1.1363099177192345e-05,3.8099209163022576e-06,5.239455106603899e-06
enmiti,4336,10,3,NN,NOUN,enmity,2.930334233922721e-05,3,0.12493873660829993,3.872953224606509e-06,1.1618859673819527e-05,3.929591329952925e-06,5.784307885715473e-06
cow,4337,10,3,NN,NOUN,cow,2.930334233922721e-05,3,0.12493873660829993,3.793688297445856e-06,1.1381064892337568e-05,3.896177896538496e-06,4.627446308572379e-06
